;1 Percentil;2 Percentil;3 Percentil;4 Percentil;5 Percentil
01/06/2016;-0.045;-0.011;-0.047;-0.027;0.021
01/07/2016;0.034;0.086;0.046;-0.018;-0.081
01/08/2016;0.164;0.123;0.145;0.07;0.039
01/09/2016;0.002;0.009;0.011;0.004;-0.006
01/10/2016;-0.026;-0.002;0.001;0.01;-0.016
01/11/2016;0.054;0.043;0.031;0.034;-0.008
01/12/2016;-0.025;-0.057;-0.049;0.055;0.106
01/01/2017;0;0.009;0.001;-0.013;-0.031
01/02/2017;0.177;0.123;0.109;0.001;-0.026
01/03/2017;0.043;0.113;0.062;0.021;0.032
01/04/2017;-0.03;0.01;-0.022;-0.034;-0.012
01/05/2017;0.046;0.024;0.009;0.008;0.02
01/06/2017;0.003;-0.056;-0.031;0.001;0.035
01/07/2017;-0.015;-0.007;0.029;-0.006;0.016
01/08/2017;0.045;0.049;0.053;-0.009;-0.026
01/09/2017;0.038;0.071;0.054;0.02;0.006
01/10/2017;0.01;0.072;0.013;0.045;0.036
01/11/2017;0.005;-0.03;0.002;0.028;0.044
01/12/2017;-0.018;-0.027;-0.026;0.02;0.027
01/01/2018;-0.002;0.042;0.039;0.051;0.026
01/02/2018;0.076;0.05;0.036;0.023;0.029
01/03/2018;0;0.003;-0.01;0.004;-0.028
01/04/2018;-0.006;-0.037;-0.019;-0.022;-0.023
01/05/2018;0.04;0.01;0.004;0.041;0.081
01/06/2018;-0.094;-0.063;-0.087;0.026;0.088
01/07/2018;-0.057;-0.057;-0.044;-0.014;0.034
01/08/2018;0.052;0.076;0.049;0.015;0.001
01/09/2018;-0.01;-0.027;-0.05;0.048;0.131
01/10/2018;-0.028;-0.037;-0.017;-0.022;-0.015
01/11/2018;0.185;0.163;0.159;0.015;-0.13
01/12/2018;0.016;0.011;0.015;0.019;0.039
01/01/2019;0.009;0.057;0.032;-0.031;-0.082
01/02/2019;0.049;0.064;0.069;0.089;0.028
01/03/2019;-0.016;0.011;-0.011;-0.018;0.068
01/04/2019;0.006;-0.018;0.013;0.011;0.037
01/05/2019;-0.046;-0.024;-0.017;0.015;0.036
01/06/2019;0.034;0.02;0.037;-0.029;-0.061
01/07/2019;0.04;0.064;0.026;0.019;0.052
01/08/2019;0.134;0.066;0.042;0.033;-0.003
01/09/2019;0.063;0.027;-0.017;0.035;0.059
01/10/2019;0.018;0.001;0.006;-0.017;0.01
01/11/2019;0.013;0.043;0.025;0.021;0.008
01/12/2019;0.024;0.031;0.007;0.019;0.055
01/01/2020;0.148;0.153;0.09;0.013;0.002
01/02/2020;0.064;0.014;0.014;0.014;0.051
01/03/2020;-0.06;-0.066;-0.023;-0.037;-0.018
01/04/2020;-0.295;-0.342;-0.113;-0.063;-0.048
01/05/2020;0.098;0.114;0.121;0.179;0.176
01/06/2020;0.051;0.092;0.032;0.049;0.037
01/07/2020;0.187;0.086;0.026;0.016;0.014
01/08/2020;0.015;0.047;0.034;0.032;0.041
01/09/2020;-0.003;0.006;-0.004;0.018;0.036
01/10/2020;-0.03;-0.014;0.016;0.022;0.028
01/11/2020;-0.021;0.007;-0.007;0.008;-0.174
01/12/2020;0.115;0.112;0.015;0.015;0.024
